output_all
specify	why	Neg	`` I 'm confident we will make arrests , '' Hagerty said , though he would n't specify why or give details about the leads that detectives are following .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 138924
understand	why	No	When stockholders receive their 1998 annual reports in the next week or so , they 'll understand why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 148941
know	when	Neg	`` I 'm thinking that David and I are going to be talking before the weekend is out , but I just do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 149071
say	when	No	Know when to say when	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 151155
know	how	Neg	I do n't know how , but he seems to be enjoying the lockout . ''	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 152108
know	how much	No	Ronald Prinn , director of the Center for Global Change Science at the Massachusetts Institute of Technology , is more cautious , saying that while it is clear that human production of greenhouse gases will cause some warming , it is too soon to know how much .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 155127
know	exactly when	Neg	Hyde expects to formally present the two impeachment charges against Clinton perjury before the federal grand jury and obstruction of justice to the Senate sometime next week , after the 106th Congress convenes on Wednesday , but he does not know exactly when .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 158119
know	why	No	`` Players today always want to know why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 159700
know	why	No	Now , Dr. Nestle said , `` The food manufacturers want to know why , if the FDA could do this for supplements , why ca n't they do it for foods ?	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 161593
determine	why	No	But those sprinklers were turned off , and the city has begun an inquiry to determine why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 164289
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 164916
know	how much	Neg	`` The Cardinals winning helps , but we do n't know how much , '' Bidwill said .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 166164
say	by how much	No	Retailers confirm prices will rise , but it 's too early to say by how much .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 166940
know	why	Neg	The next day , you wake up and you 're sore and you do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 172143
know	who	Neg	They just did n't know who .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 174896
know	how good	Neg	We knew we were a good team , but we did n't know how good .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 175456
see	how	Neg	`` We 've got to figure out some way of raising funds from the Fire Island community some of the richest gays in the city and right now I do n't see how , '' Grossman said .	Treebanks/NYT-Parsed/nyt_eng_199812.tgrep2 175938
find	why	No	Ms. Cohen helped try to find out why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 4943
know	what era	Neg	`` But we do n't know what era . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 5080
know	how	Neg	The truth : Until recently , he did n't know how .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 6449
know	when	Neg	`` I just did n't know when .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 6955
choose	where	No	In the greatest movie of all time , `` Butch Cassidy and the Sundance Kid , '' it was sheriff Ray Bledsoe -LRB- honest -RRB- who told Butch and the Kid , `` You 're gonna die bloody and all you can do is choose where . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 10797
see	why	No	`` I can see why , '' Hunter said .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 13906
know	how many MVPs	Neg	I was traded in '88 , from Edmonton to Los Angeles , after winning four cups and I do n't know how many MVPs .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 14410
explain	why	Neg	Of course , that last note does n't explain why , even as late as 1997 , some computers and software were being sold that still could not handle 2000 as a year .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 17537
know	how widespread	Neg	`` I do n't know how widespread , obviously , but there 's a good possibility that there will be scapegoating , paranoia , violence , all sorts of things .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 24172
sell	when	No	333-megahertz AMD processor , which will sell for about $ 899 when they	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 25356
know	why	Neg	`` You do n't know why but your PC will sometimes fail . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 26374
back	when	No	Perhaps it 's because Vinny Testaverde is a Jet wearing the same style uniform Joe Namath did way back when , or perhaps it 's because Sunday 's playoff game against Jacksonville is only two days shy of the 30th anniversary of the most famous Super Bowl of all .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 28318
know	why	Neg	Status : `` I 'll probably keep them , but I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 29497
explain	why	Neg	Of course , that last note does n't explain why , even as late as 1997 , some computers and software were being sold that still could not handle 2000 as a year .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 29685
guess	what	No	And guess what ?	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 30502
show	why	No	Later in the night , he said , `` I think either side that wants a witness has to show why , who are they , what they are needed for , what point is involved , can it be stipulated . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 35349
see	why	No	Clinton made the Republicans crazy , and it 's easy to see why : He took all their good stuff welfare reform , balanced budget , defense spending and left them with Phyllis Schlafly .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 38410
explain	why	No	`` We really could n't find anything that seemed to be a good way to explain why '' some people 's activity level increased so much more than others , said Michael D. Jensen , who did the research with Norman L. Eberhardt and James A. Levine .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 38897
say	how much	Neg	The friend , who refused to be quoted by name , would not say how much .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 45723
wonder	how	No	Since then , he has had to scuffle to make a living with his fists , never earning more than $ 12,000 until promoter Don King got him a No. 1 ranking -LRB- wonder how ? -RRB-	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 46667
agree	why	No	No one can agree why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 48148
say	why	Neg	He wo n't say why , and he declined to play this year .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 53758
guess	what	No	Well , guess what .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 54040
ask	why	No	If you have to ask why , you have n't been paying attention to the sports world in the past six months .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 54064
guess	what	No	Well , guess what ?	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 60497
know	why	Neg	It seemed like every year we would end up with low numbers and you would n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 64775
know	when	Neg	He said fast , but I do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 66280
know	who	Neg	We may not know who , or what , or what circumstances , but somewhere in the world , there is somebody dribbling a basketball who will no doubt have a tremendous impact one day . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 72475
explain	why	No	More immediately , he says , regulators must make sure utilities that miss the June 30 target can explain why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 73503
know	why	No	I 'll never know why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 75201
know	who	No	The Jets may not have played the Broncos and Davis as a team since 1996 way back when Parcells was coaching and Curtis Martin was running for you know who but they know all about him .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 87995
say	in what capacity	Neg	He did not say in what capacity , but it is believed the Sox would like Eckersley to serve as a uniformed instructor in spring training .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 90086
understand	why	No	And it is n't hard to understand why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 92235
remember	when	Neg	`` I may have had better days , but I ca n't remember when , '' said Marketwatch.com chief executive Larry Kramer , who was hoarse from giving interviews all day .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 93026
know	how	Neg	`` We did n't know how .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 96064
show	how awful	No	`` I wanted to show how awful , how vulgar , how terrible this whole thing was . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 99991
explain	why	Neg	Somehow , the perfect kicker missed , and he could not explain why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 101123
say	when	Neg	The Health Department insists that it will eventually create truly local maps , including environmental data , but it can not say when .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 102887
guess	what	No	`` But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 106473
guess	what	No	The first time it happened , Alexander sent $ 1,950 from her Visa account `` and guess what ? ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 106783
understand	why	No	With Internet shares growing astronomically , it is not hard to understand why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 112164
say	when	No	`` I do see that happening , '' Ms. Solomon said , `` but I 'm not going to say when . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 114613
say	why	Neg	They did not say why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 115201
see	how	Neg	Howard Anderson , president of the competing Yankee Group and a Gideon Gartner critic , does n't see how .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 118182
Know	Who	No	But he also has been one of the game 's top shooting guards this decade , maybe even second to You Know Who .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 118356
guess	what	No	`` And then guess what ?	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 118997
know	why	Neg	`` I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 119895
know	to what public good	Neg	`` And I do n't know to what public good , '' he said .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 121259
figure	why	No	`` And , as some have speculated , this is not about reasoning or trying to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 123876
explain	how	No	Ms. Dunn did not , however , explain how , prompting Gebhardtsbauer of the American Academy of Actuaries to say she `` ignores the fact that if there is no pain anywhere , it ends up being our kids who pay . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 127107
know	when	No	The only trouble is that none of us know when . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 127923
know	how	Neg	They do n't know how and their constituencies would n't abide it even if they did .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 132033
say	how many	Neg	Feldberg also said that many of the company 's 20,000 employees would be retained during the liquidation process , but it did not say how many , or what sort of severance program would be offered .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 136475
explain	why	No	Let these attorneys explain why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 136668
explain	why	No	Let these attorneys explain why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 136719
say	why	Neg	The Bears would not say why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 139116
remember	when	Neg	He arrived here on a Red Cross helicopter flight from the war zone , he said , but does n't remember when .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 143844
know	why	No	`` Unfortunately , it appears that little progress has been made , and Congress needs to know why , '' said Sen. Fred Thompson , R-Tenn. , chairman of the Senate Governmental Affairs Committee .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 148946
say	where	No	From the first , law enforcement officials said , he told them that the children were `` in a safe place '' but refused to say where .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 153459
say	when	No	Nowitzki , slated to be the Mavericks ' starting small forward in the mold of Toni Kukoc and Kevin Garnett , said he 's struggling knowing when to say when as far as being aggressive offensively .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 160440
know	why	No	Now they -LRB- are quite self-impressed -RRB- , and I 'd like to know why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 164023
know	how many games	Neg	`` Since we have been doing it , we have won I do n't know how many games in a row .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 165043
ask	why	No	`` So , now there 's something else that is out there that members want to continue it for , and I think the American public are going to ask why ? ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 167163
guess	who	No	NEW YORK It was supposed to be an all-Haydn evening , with trios and divertimentos by guess who .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 167291
understand	why	Neg	I do n't understand why . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 171779
know	why	Neg	`` We have not been a good ACC tournament team , and I do n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 172107
know	why	Neg	`` I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 172318
explain	why	No	It 's hard to explain why .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 177123
know	in what form	Neg	-- He expects instant replay to return next season but does n't know in what form .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 179257
know	when	Neg	`` I 'm sure I can win again ; I just do n't know when , '' said Mediate , who started Saturday 's third round at six-under-par 136 for the tournament , two strokes ahead of Tiger Woods .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 185627
know	why	Neg	`` I have n't been playing on the edge and I do n't know why , '' said Roenick , who just a week ago was skating alongside Lindros in the NHL All-Star Game .	Treebanks/NYT-Parsed/nyt_eng_199901.tgrep2 188195
figure	why	No	And it does n't take much to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199902.tgrep2 3648
know	how many times	Neg	`` I 've brought Sammy in , I do n't know how many times , to the video room after a period and said , ` You ca n't do this . '	Treebanks/NYT-Parsed/nyt_eng_199902.tgrep2 5483
remember	when	Neg	`` I admit it 's a little melodramatic , but this ought to be viewed as one of the greatest and most important debates on economic policy since I ca n't remember when , '' said Henry Aaron , an economist at the Brookings Institution , whose thinking on economic policy is often in line with Clinton 's .	Treebanks/NYT-Parsed/nyt_eng_199902.tgrep2 5677
